id,symbol,score
580,BARD1,0.999
417,ART1,0.999
784,CACNB3,0.998
1262,Unknown,0.998
1000,CDH2,0.998
1263,PLK3,0.997
1261,CNGA3,0.997
9,NAT1,0.996
100,ADA,0.995
649,BMP1,0.994
1265,Unknown,0.994
1271,CNTFR,0.994
2173,FABP7,0.993
1259,CNGA1,0.992
258,AMBN,0.992
419,ART3,0.991
239,ALOX12,0.991
115,ADCY9,0.99
978,CDA,0.988
2021,ENDOG,0.988
22,ABCB7,1.0
1236,CCR7,0.998
34,ACADM,0.996
28,ABO,0.995
445,ASS1,0.995
2194,FASN,0.993
27,ABL2,0.992
1282,COL4A1,0.99
741,ZNHIT2,0.987
434,ASIP,0.985
402,ARL2,0.982
150,ADRA2A,0.981
551,AVP,0.979
148,ADRA1A,0.975
1160,CKMT2,0.974
1149,CIDEA,0.972
1053,CEBPE,0.971
1521,CTSW,0.971
830,CAPZA2,0.97
182,JAG1,0.969
48,ACO1,1.0
29,ABR,1.0
177,AGER,1.0
36,ACADSB,1.0
30,ACAA1,1.0
2068,ERCC2,1.0
90,ACVR1,1.0
781,CACNA2D1,1.0
191,AHCY,1.0
833,CARS,1.0
1158,CKM,1.0
2250,FGF5,1.0
388,RHOB,1.0
203,AK1,1.0
34,ACADM,1.0
399,RHOH,1.0
50,ACO2,1.0
835,CASP2,1.0
396,ARHGDIA,1.0
1659,DHX8,1.0
1673,DEFB4,0.995
651,BMP3,0.985
788,SLC25A20,0.984
1981,EIF4G1,0.982
1746,DLX2,0.971
638,BIK,0.964
35,ACADS,0.958
13,AADAC,0.957
215,ABCD1,0.952
645,BLVRB,0.947
646,BNC1,0.944
635,BHMT,0.943
641,BLM,0.941
566,AZU1,0.929
902,CCNH,0.928
633,BGN,0.926
472,ATM,0.913
637,BID,0.913
963,CD53,0.913
640,BLK,0.913
823,CAPN1,0.985
581,BAX,0.984
412,STS,0.978
517,ATP5G2,0.962
805,Unknown,0.959
835,CASP2,0.957
840,CASP7,0.951
1603,DAD1,0.95
966,CD59,0.948
1,A1BG,0.935
2264,FGFR4,0.934
248,ALPI,0.926
1953,MEGF6,0.92
2069,EREG,0.92
158,ADSL,0.914
2028,ENPEP,0.911
250,ALPP,0.909
1780,DYNC1I1,0.907
1524,CX3CR1,0.905
1052,CEBPD,0.904
2047,EPHB1,1.0
658,BMPR1B,1.0
496,ATP4B,1.0
490,ATP2B1,0.999
501,ALDH7A1,0.999
653,BMP5,0.998
754,PTTG1IP,0.991
641,BLM,0.988
498,ATP5A1,0.986
1831,TSC22D3,0.984
181,AGRP,0.983
1241,LTB4R,0.981
111,Unknown,0.977
1005,CDH7,0.976
2128,Unknown,0.968
280,Unknown,0.967
1739,DLG1,0.964
2130,EWSR1,0.953
1746,DLX2,0.952
655,BMP7,0.952
19,ABCA1,0.999
12,SERPINA3,0.997
1361,CPB2,0.997
218,ALDH3A1,0.996
466,ATF1,0.995
1801,Unknown,0.994
917,CD3G,0.993
1778,DYNC1H1,0.993
550,AUP1,0.992
24,ABCA4,0.992
154,ADRB2,0.989
473,RERE,0.989
765,CA6,0.987
476,ATP1A1,0.986
919,CD247,0.984
356,FASLG,0.983
141,ADPRH,0.982
1800,DPEP1,0.982
142,PARP1,0.981
1292,COL6A2,0.981
14,AAMP,0.996
18,ABAT,0.994
